,tic,datadate,fyearq,fqtr,actq,lctq,dvpspq,saleq,cshoq,prccq,epsfiq,oancfy,ivncfy,fincfy,lastactual1,meanest,actual
0,AAL,31/03/2014,2013,4,14323,13806,0,7337,261.069,25.25,-8.66,675,-3814,3799,0.59,0.49,0.54
1,AAL,30/06/2014,2014,1,15193,15079,0,9995,649.953,36.6,0.65,1256,-943,-194,0.54,1.93,1.98
2,AAL,30/09/2014,2014,2,14966,15088,0,11356,720.502,42.96,1.17,2637,-2347,-220,1.98,1.64,1.66
3,AAL,31/12/2014,2014,3,13450,13888,0.1,11139,717.258,35.48,1.28,2276,-2125,-113,1.66,1.51,1.52
4,AAL,31/03/2015,2014,4,12112,13435,0.1,10160,697.475,53.63,0.82,3080,-2911,-315,1.52,1.71,1.73
5,AAL,30/06/2015,2015,1,14129,14233,0.1,9827,693.801,52.78,1.3,2494,-3202,762,1.73,2.59,2.62
6,AAL,30/09/2015,2015,2,14109,15045,0.1,10827,678.289,39.935,2.41,4841,-4695,-188,2.62,2.71,2.77
7,AAL,31/12/2015,2015,3,13706,14161,0.1,10706,640.108,38.83,2.49,6021,-6032,33,2.77,1.95,2
8,AAL,31/03/2016,2015,4,9985,13605,0.1,9630,624.622,42.35,5.09,6249,-5594,-1259,2,1.19,1.99
9,AAL,30/06/2016,2016,1,10802,15277,0.1,9435,585.658,41.01,1.14,2620,-2114,-401,1.99,1.64,1.77
10,AAL,30/09/2016,2016,2,11184,14917,0.1,10363,537.141,28.31,1.68,4833,-3771,-1006,1.77,1.57,1.76
11,AAL,31/12/2016,2016,3,11048,14533,0.1,10593,519.161,36.61,1.4,5897,-4642,-1264,1.76,0.91,0.92
12,AAL,31/03/2017,2016,4,10324,13872,0.1,9789,507.294,46.69,0.56,6524,-5698,-894,0.92,0.56,0.61
28,PNW,30/09/2001,2001,2,825.797,1335.586,0.375,773.417,84.721,47.4,0.79,273.403,-507.917,237.241,0.79,1.4,1.91
29,PNW,31/12/2001,2001,3,1178.269,1657.406,0.375,1160.778,84.643,39.7,1.77,438.726,-770.142,346.39,1.91,0.6,0.57
30,PNW,31/03/2002,2001,4,727.405,1090.929,0.4,520.974,84.825,41.85,0.42,570.93,-1119.804,567.13,0.57,0.63,0.63
31,PNW,30/06/2002,2002,1,768.667,650.392,0.4,499.844,84.807,45.35,0.63,136.085,-329.008,184.747,0.63,0.91,0.89
32,PNW,30/09/2002,2002,2,723.796,916.574,0.4,593.516,84.776,39.5,0.89,212.953,-453.575,225.862,0.89,1.45,1.37
33,PNW,31/12/2002,2002,3,846.722,1209.023,0.4,732.613,84.755,27.76,1.19,553.554,-686.999,132.925,1.37,0.58,0.53
34,PNW,31/03/2003,2002,4,812.688,1055.115,0.425,614.315,91.255,34.09,-0.95,870.774,-902.997,81.311,0.53,0.44,0.22
35,PNW,30/06/2003,2003,1,875.874,1361.682,0.425,552.643,91.254,33.24,0.28,181.434,-238.14,46.429,0.22,0.72,0.61
36,PNW,30/09/2003,2003,2,998.647,1065.889,0.425,652.283,91.271,37.45,0.61,307.832,-393.178,101.964,0.61,1.2,1.2
37,PNW,31/12/2003,2003,3,1040.335,1335.182,0.425,831.002,91.275,35.5,1.2,605.014,-498.806,17.972,1.2,0.54,0.54
38,PNW,31/03/2004,2003,4,969.047,1150.974,0.45,723.566,91.288,40.02,0.54,901.83,-716.766,-33.851,0.54,0.23,0.33
39,PNW,30/06/2004,2004,1,738.364,1325.761,0.45,565.516,91.359,39.35,0.34,226.381,-124.155,-311.811,0.33,0.59,0.55
40,PNW,30/09/2004,2004,2,1062.22,1087.306,0.45,703.044,91.318,40.39,0.79,384.053,-180.72,-160.296,0.55,1.2,1.15
41,PNW,31/12/2004,2004,3,1258.767,1487.244,0.45,847.165,91.572,41.5,1.15,630.447,-252.256,-228.039,1.15,0.43,0.34
42,PNW,31/03/2005,2004,4,1137.13,1625.896,0.475,713.281,91.793,44.41,0.37,842.08,-531.953,-277.823,0.34,0.37,0.27
43,PNW,30/06/2005,2005,1,1135.742,1587.367,0.475,585.358,98.35,42.51,0.27,195.951,-39.881,-147.32,0.27,0.78,0.89
44,PNW,30/09/2005,2005,2,1851.89,1922.007,0.475,755.342,98.761,44.45,0.28,334.146,-648.643,451.534,0.89,1.48,1.89
45,PNW,31/12/2005,2005,3,2892.951,2882.507,0.475,955.583,99.001,44.08,1.05,887.009,-484.435,305.313,1.89,0.17,0.24
46,PNW,31/03/2006,2005,4,1891.392,2272.073,0.5,691.672,99.057,41.35,0.22,730.296,-585.092,-154.567,0.24,0.3,0.12
47,PNW,30/06/2006,2006,1,1409.761,1796.921,0.5,670.206,99.197,39.1,0.13,3.057,31.697,126.098,0.12,0.86,1.03
48,PNW,30/09/2006,2006,2,1233.653,1560.209,0.5,925.028,99.478,39.91,1.13,56.225,-173.911,-20.709,1.03,1.61,1.84
49,PNW,31/12/2006,2006,3,1761.816,1681.27,0.5,1076.442,99.848,45.05,1.84,283.223,-560.33,251.326,1.84,0.26,0.14
50,PNW,31/03/2007,2006,4,1474.662,1458.56,0.525,730.072,99.959,50.69,0.18,393.502,-568.733,108.438,0.14,0.21,0.16
51,PNW,30/06/2007,2007,1,971.102,1090.885,0.525,695.017,100.115,48.25,0.16,214.581,-184.001,3.463,0.16,0.76,0.78
52,PNW,30/09/2007,2007,2,993.522,1269.762,0.525,862.902,100.29,39.85,0.78,290.32,-428.456,74.398,0.78,1.57,1.99
53,PNW,31/12/2007,2007,3,1068.972,1306.345,0.525,1050.021,100.367,39.51,2.07,477.474,-678.061,157.291,1.99,-0.07,0.03
54,PNW,31/03/2008,2007,4,947.447,1384.967,0.525,709.074,100.486,42.41,0.03,657.936,-873.354,184.529,0.03,0.14,-0.04
55,PNW,30/06/2008,2008,1,905.528,1341.571,0.525,688.256,100.486,35.08,-0.04,245.532,-248.118,-36.202,-0.04,0.78,1.03
56,PNW,30/09/2008,2008,2,1035.967,1183.719,0.525,880.895,100.706,30.77,1.33,678.836,-379.139,-259.47,1.03,1.55,1.5
57,PNW,31/12/2008,2008,3,999.703,1361.336,0.525,1063.012,100.799,34.41,1.5,783.941,-597.086,-138.648,1.5,-0.03,-0.1
58,PNW,31/03/2009,2008,4,882.482,1505.928,0.525,678.395,100.888,32.13,-0.39,813.568,-815.159,50.515,-0.1,-0.03,-0.29
59,PNW,30/06/2009,2009,1,801.564,1032.556,0.525,607.378,101.074,26.56,-1.55,-56.166,-182.033,165.758,-0.29,0.9,0.77
60,PNW,30/09/2009,2009,2,1184.822,1296.017,0.525,818.588,101.171,30.15,0.68,192.398,-541.337,261.289,0.77,1.68,1.96
61,PNW,31/12/2009,2009,3,1150.823,954.436,0.525,1089.036,101.275,32.82,1.84,760.97,-536.571,-228.82,1.96,-0.11,-0.16
62,PNW,31/03/2010,2009,4,928.737,1083.16,0.525,660.908,101.435,36.58,-0.3,1031.065,-704.917,-286.015,-0.16,-0.05,0.07
63,PNW,30/06/2010,2010,1,720.611,1393.726,0.525,612.262,101.534,37.73,-0.06,-13.675,-210.428,82.253,0.07,0.9,0.83
64,PNW,30/09/2010,2010,2,1086.786,1227.109,0.525,802.795,108.511,36.36,1.07,201.414,-277.869,-18.421,0.83,1.99,2.08
65,PNW,31/12/2010,2010,3,1243.332,967.807,0.525,1116.71,108.71,41.27,2.14,569.5,-377.219,-141.744,2.08,0.01,0.06
66,PNW,31/03/2011,2010,4,931.93,1310.736,0.525,657.432,108.77,41.45,0.07,750.457,-575.9,-209.747,0.06,0.06,-0.14
67,PNW,30/06/2011,2011,1,958.017,1674.212,0.525,648.847,109.017,42.79,-0.14,243.496,-192.795,-46.696,-0.14,0.94,0.78
68,PNW,30/09/2011,2011,2,1036.853,1831.294,0.525,799.799,109.111,44.58,0.79,436.279,-328.329,-125.864,0.78,2.1,2.24
69,PNW,31/12/2011,2011,3,1591.235,1783.268,0.525,1124.841,109.171,42.94,2.32,920.506,-534.292,68.31,2.24,0.05,0.11
70,PNW,31/03/2012,2011,4,956.47,1342.705,0.525,667.892,109.246,48.18,0.11,1125.583,-782.007,-420.181,0.11,-0.07,-0.07
71,PNW,30/06/2012,2012,1,904.8,1157.899,0.525,620.631,109.372,47.9,-0.08,115.335,-235.099,106.891,-0.07,1.04,1.12
72,PNW,30/09/2012,2012,2,947.416,1104.323,0.525,878.576,109.54,51.74,1.11,458.635,-414.722,-66.268,1.12,2.29,2.21
73,PNW,31/12/2012,2012,3,1098.852,949.348,0.525,1109.475,109.589,52.8,2.21,929.471,-653.118,-230.457,2.21,0.17,0.24
74,PNW,31/03/2013,2012,4,1005.726,1083.542,0.545,693.122,109.743,50.98,0.2,1171.122,-872.994,-305.509,0.24,0.06,0.22
75,PNW,30/06/2013,2013,1,871.777,891.511,0.545,686.652,109.946,57.89,0.22,212.157,-176.72,-36.53,0.22,1.07,1.18
76,PNW,30/09/2013,2013,2,1066.289,1537.218,0.545,915.822,109.993,55.47,1.18,454.256,-371.878,-80.777,1.18,2.16,2.04
77,PNW,31/12/2013,2013,3,1350.486,1446.943,0.545,1152.392,110.037,54.74,2.04,882.33,-571.956,-201.119,2.04,0.19,0.22
78,PNW,31/03/2014,2013,4,1043.609,1618.644,0.5675,699.762,110.182,52.92,0.22,1153.307,-1009.401,-160.582,0.22,0.14,0.14
79,PNW,30/06/2014,2014,1,897.93,1394.643,0.5675,686.251,110.354,54.66,0.14,249.157,-208.508,53.246,0.14,1.15,1.19
80,PNW,30/09/2014,2014,2,999.072,1554.707,0.5675,906.264,110.407,57.84,1.19,465.066,-392.968,-72.463,1.19,2.16,2.2
81,PNW,31/12/2014,2014,3,1040.932,1448.518,0.5675,1172.667,110.447,54.64,2.2,886.918,-633.757,-252.216,2.2,0.18,0.05
82,PNW,31/03/2015,2014,4,973.435,1559.143,0.595,726.45,110.571,68.31,0.05,1099.627,-922.668,-178.881,0.05,0.19,0.14
83,PNW,30/06/2015,2015,1,935.442,1373.976,0.595,671.219,110.747,63.75,0.14,144.148,-232.817,92.729,0.14,1.23,1.1
84,PNW,30/09/2015,2015,2,1031.756,1339.859,0.595,890.648,110.811,56.89,1.1,394.294,-509.503,121.162,1.1,2.32,2.3
85,PNW,31/12/2015,2015,3,1061.979,1523.362,0.595,1199.146,110.847,64.14,2.3,821.373,-772.788,-43.182,2.3,0.26,0.37
86,PNW,31/03/2016,2015,4,890.516,1442.317,0.625,734.43,110.98,64.48,0.37,1094.327,-1066.233,3.79,0.37,0.15,0.04
87,PNW,30/06/2016,2016,1,826.025,1585.902,0.625,677.167,111.14,75.07,0.04,144.209,-372.305,203.092,0.04,1.2,1.08
88,PNW,30/09/2016,2016,2,963.387,1478.544,0.625,915.394,111.174,81.06,1.08,422.475,-715.457,296.534,1.08,2.41,2.35
89,PNW,31/12/2016,2016,3,977.492,1109.718,0.625,1166.922,111.218,75.99,2.35,765.05,-1010.466,254.195,2.35,0.47,0.47
90,PNW,31/03/2017,2016,4,822.219,1292.946,0.655,739.199,111.337,78.03,0.47,1023.39,-1252.078,198.081,0.47,0.16,0.21
106,ABT,30/06/2000,2000,1,6727.906,4500.645,0.17,3353.178,1549.132,35.1875,0.44,379.965,-101.453,-202.025,0.44,0.44,0.44
107,ABT,30/09/2000,2000,2,6898.036,4188.266,0.19,3370.153,1549.931,44.5625,0.44,1647.554,-346.361,-1056.066,0.44,0.42,0.42
108,ABT,31/12/2000,2000,3,6971.289,4284.105,0.19,3317.895,1546.428,47.5625,0.42,2325.435,-377.501,-1661.603,0.42,0.48,0.48
109,ABT,31/03/2001,2000,4,7376.241,4297.54,0.19,3704.69,1545.934,48.4375,0.48,3099.618,-617.664,-2147.949,0.48,0.48,0.47
110,ABT,30/06/2001,2001,1,8191.37,10888.822,0.19,3559.88,1548.255,47.19,-0.14,-96.434,-5616.288,5239.946,0.47,0.45,0.45
111,ABT,30/09/2001,2001,2,7963.572,7408.395,0.21,4099.119,1550.907,48,0.34,1495.08,-7198.364,5524.636,0.45,0.44,0.44
112,ABT,31/12/2001,2001,3,8170.901,7781.761,0.21,4181.185,1552.237,51.85,0.4,2679.458,-7789.498,4842.038,0.44,0.52,0.52
113,ABT,31/03/2002,2001,4,8419.189,7926.817,0.21,4445.062,1554.53,55.75,0.39,3566.848,-8384.874,4623.816,0.52,0.54,0.54
114,ABT,30/06/2002,2002,1,8075.521,6952.07,0.21,4189.289,1560.614,52.6,0.54,1163.613,-295.806,-605.235,0.54,0.49,0.49
115,ABT,30/09/2002,2002,2,8010.045,6868.299,0.235,4314.889,1562.131,37.65,0.38,2082.482,-1180.195,-1157.791,0.49,0.48,0.48
116,ABT,31/12/2002,2002,3,8484.149,6717.208,0.235,4341.236,1562.541,40.4,0.46,2983.415,-1522.34,-1428.303,0.48,0.56,0.55
117,ABT,31/03/2003,2002,4,9121.772,7002.202,0.235,4839.249,1563.068,40,0.4,4182.944,-1881.62,-2309.974,0.55,0.51,0.51
118,ABT,30/06/2003,2003,1,9431.446,6944.333,0.235,4008.941,1560.968,37.61,0.51,943.016,-268.39,-409.176,0.51,0.52,0.52
119,ABT,30/09/2003,2003,2,9714.796,7333.157,0.245,4126.259,1562.56,43.76,0.16,2010.678,-613.774,-1167.697,0.52,0.53,0.53
120,ABT,31/12/2003,2003,3,10260.878,8039.133,0.245,4247.855,1563.353,42.55,0.48,3099.72,-1083.703,-1108.267,0.53,0.65,0.65
121,ABT,31/03/2004,2003,4,10290.415,7639.535,0.245,4897.278,1564.518,46.6,0.6,3746.448,-1630.605,-2006.212,0.65,0.56,0.57
122,ABT,30/06/2004,2004,1,10942.822,6953.971,0.245,4640.855,1559.676,41.1,0.52,1355.342,-1309.825,45.339,0.57,0.54,0.54
123,ABT,30/09/2004,2004,2,10502.96,7624.023,0.26,4703.049,1561.157,40.76,0.4,3439.558,-3273.521,69.56,0.54,0.53,0.53
124,ABT,31/12/2004,2004,3,10216.003,7295.457,0.26,4681.669,1557.392,42.36,0.51,4305.34,-3543.72,-925.487,0.53,0.67,0.67
125,ABT,31/03/2005,2004,4,10734.485,6825.644,0.26,5654.443,1560.024,46.65,0.62,5107.943,-3923.39,-1138.32,0.67,0.58,0.58
126,ABT,30/06/2005,2005,1,10351.123,7367.978,0.26,5382.679,1550.677,46.62,0.53,533.727,390.804,-430.72,0.58,0.57,0.58
127,ABT,30/09/2005,2005,2,9663.249,6083.031,0.275,5473.8,1554.416,49.01,0.56,2398.257,124.317,-2201.846,0.58,0.58,0.58
128,ABT,31/12/2005,2005,3,10988.679,8758.515,0.275,5383.995,1551.228,42.4,0.44,3823.168,-158.447,-1902.059,0.58,0.76,0.76
129,ABT,31/03/2006,2005,4,11386.028,7415.514,0.275,6047.334,1539.235,39.43,0.63,5174.416,-720.087,-2592.316,0.76,0.57,0.57
130,ABT,30/06/2006,2006,1,10608.832,7160.54,0.275,5183.459,1526.217,42.47,0.56,1183.119,-292.33,-1450.398,0.57,0.57,0.62
131,ABT,30/09/2006,2006,2,9897.785,7694.184,0.295,5501.124,1527.807,43.61,0.4,2755.809,-7112.486,2194.012,0.62,0.58,0.58
132,ABT,31/12/2006,2006,3,10070.578,7434.001,0.295,5573.77,1534.864,48.56,0.46,4040.698,-7477.069,1008.838,0.58,0.74,0.75
133,ABT,31/03/2007,2006,4,11281.883,11951.195,0.295,6217.969,1537.243,48.71,-0.31,5329.241,-11397.629,3621.927,0.75,0.53,0.55
134,ABT,30/06/2007,2007,1,11504.217,12305.106,0.295,5945.561,1540.36,55.8,0.45,992.73,-325.423,-506.657,0.55,0.68,0.69
135,ABT,30/09/2007,2007,2,12338.909,12010.217,0.325,6370.62,1545.453,53.55,0.63,2595.742,-549.639,-1038.878,0.69,0.66,0.67
136,ABT,31/12/2007,2007,3,12838.196,12283.059,0.325,6376.706,1545.273,53.62,0.46,4133.752,-907.915,-1856.852,0.67,0.92,0.93
137,ABT,31/03/2008,2007,4,14042.733,9103.278,0.325,7221.351,1549.91,56.15,0.77,5183.843,-1136.277,-2312.632,0.93,0.62,0.63
138,ABT,30/06/2008,2008,1,15111.74,10770.445,0.325,6765.603,1543.296,55.15,0.6,1305.151,-893.165,-226.266,0.63,0.79,0.84
139,ABT,30/09/2008,2008,2,16957.168,12016.55,0.36,7314.021,1541.547,52.97,0.85,3063.626,-1681.207,-168.583,0.84,0.77,0.79
140,ABT,31/12/2008,2008,3,15226.733,9559.439,0.36,7497.66,1551.582,57.58,0.69,5762.037,-1735.306,-3533.777,0.79,1.06,1.06
141,ABT,31/03/2009,2008,4,17042.559,11591.908,0.36,7950.268,1552.433,53.37,0.98,7344.191,-2087.491,-3485.902,1.06,0.7,0.73
142,ABT,30/06/2009,2009,1,18007.894,11770.271,0.36,6718.368,1545.459,47.7,0.92,698.718,-1605.758,1684.602,0.73,0.88,0.89
143,ABT,30/09/2009,2009,2,19628.376,12042.381,0.4,7494.876,1545.913,47.04,0.83,2412.519,-3743.15,1354.979,0.89,0.9,0.92
144,ABT,31/12/2009,2009,3,21415.842,12524.507,0.4,7761.336,1546.738,49.47,0.95,5442.543,-5261.587,498.646,0.92,1.17,1.18
145,ABT,31/03/2010,2009,4,23313.891,13049.489,0.4,8790.127,1551.168,53.99,0.98,7275.16,-3698.71,1002.019,1.18,0.8,0.81
146,ABT,30/06/2010,2010,1,17690.678,15183.485,0.4,7698.354,1543.565,52.68,0.64,1522.752,-7658.76,-520.199,0.81,1,1.01
147,ABT,30/09/2010,2010,2,19915.307,14689.26,0.44,8826.014,1544.029,46.78,0.83,3871.049,-7354.928,-307.321,1.01,1.04,1.05
148,ABT,31/12/2010,2010,3,19447.42,15583.871,0.44,8674.505,1545.816,52.24,0.57,6419.462,-9747.926,-994.427,1.05,1.29,1.3
149,ABT,31/03/2011,2010,4,22317.529,17262.434,0.44,9967.848,1546.984,47.91,0.92,8735.981,-12188.315,-1087.741,1.3,0.9,0.91
150,ABT,30/06/2011,2011,1,23647.132,17225.103,0.44,9040.85,1554.283,49.05,0.55,2011.146,-2301.23,-684.334,0.91,1.11,1.12
151,ABT,30/09/2011,2011,2,24132.178,15839.928,0.48,9616.291,1556.577,52.62,1.23,4514.298,-2095.637,-2070.515,1.12,1.17,1.18
152,ABT,31/12/2011,2011,3,23094.416,15413.961,0.48,9816.665,1557.796,51.14,0.19,7568.728,-1103.642,-4738.637,1.18,1.43,1.45
153,ABT,31/03/2012,2011,4,23768.774,15480.228,0.48,10377.453,1570.379,56.23,1.02,8970.077,260.832,-6023.455,1.45,0.99,1.03
154,ABT,30/06/2012,2012,1,25602.131,16785.923,0.48,5283.685,1573.392,61.29,0.78,2224.93,-5012.614,286.074,1.03,1.22,1.23
155,ABT,30/09/2012,2012,2,26257.492,17120.467,0.51,5313.297,1569.334,64.47,1.08,4291.759,-4324.244,401.441,1.23,1.28,1.3
156,ABT,31/12/2012,2012,3,27264.244,16285.978,0.51,5264.787,1580.668,68.56,1.21,7811.261,-4855.851,-1789.516,1.3,1.5,1.51
157,ABT,31/03/2013,2012,4,31322.583,13280.176,0.51,5632.231,1576.667,65.5,0.66,9314.401,-6081.288,716.093,1.51,0.41,0.42
158,ABT,30/06/2013,2013,1,19096.868,10406.326,0.14,5377.895,1558.865,35.32,0.34,460.255,-2108.011,-4732.7,0.42,0.44,0.46
159,ABT,30/09/2013,2013,2,19831.124,10919.614,0.14,4440.105,1554.125,34.88,0.3,1176.814,-2071.937,-4268.187,0.46,0.52,0.55
160,ABT,31/12/2013,2013,3,19748.949,11331.665,0.14,4825,1546.186,33.19,0.61,1698.939,-4768.703,-4826.945,0.55,0.58,0.58
161,ABT,31/03/2014,2013,4,19247,9507,0.14,5014,1548.098,38.33,0.37,3324,-3929,-6696,0.58,0.36,0.41
162,ABT,30/06/2014,2014,1,17931,10186,0.22,4755,1501.939,38.51,0.24,336,-595,-1152,0.41,0.51,0.54
163,ABT,30/09/2014,2014,2,18258,9853,0.22,5057,1503.699,40.9,0.3,1236,633,-1771,0.54,0.59,0.62
164,ABT,31/12/2014,2014,3,16464,10823,0.22,5079,1505.791,41.59,0.36,2437,-192,-2042,0.62,0.68,0.71
165,ABT,31/03/2015,2014,4,15261,10532,0.22,5356,1508.035,45.02,0.59,3675,-202,-2742,0.71,0.42,0.47
166,ABT,30/06/2015,2015,1,19985,9206,0.24,4897,1488.757,46.33,1.51,2,-205,-550,0.47,0.5,0.52
167,ABT,30/09/2015,2015,2,21131,9185,0.24,5170,1490.441,49.08,0.52,943,37,-924,0.52,0.53,0.54
168,ABT,31/12/2015,2015,3,15894,8755,0.24,5150,1491.72,40.22,0.38,2138,-1160,-1739,0.54,0.61,0.62
169,ABT,31/03/2016,2015,4,14155,9186,0.24,5188,1472.665,44.91,0.51,2966,406,-2236,0.62,0.39,0.41
170,ABT,30/06/2016,2016,1,12406,8393,0.26,4885,1469.152,41.83,0.21,-93,226,-1432,0.41,0.53,0.55
171,ABT,30/09/2016,2016,2,12988,8673,0.26,5333,1469.995,39.31,0.41,816,-1244,-1611,0.55,0.58,0.59
172,ABT,31/12/2016,2016,3,12978,8321,0.26,5302,1472.31,42.29,-0.22,2033,-1798,-2357,0.59,0.65,0.65
173,ABT,31/03/2017,2016,4,26776,6660,0.26,5333,1472.869,38.41,0.53,3203,-248,11147,0.65,0.43,0.48
189,AMD,30/06/2000,2000,1,1732.873,910.08,0,1092.029,153.192,57.0625,1.15,386.763,-354.111,50.909,0.575,0.54,0.605
190,AMD,30/09/2000,2000,2,2059.391,936.737,0,1170.437,155.745,77.25,1.21,667.899,-345.654,89.643,0.605,0.63,0.64
191,AMD,31/12/2000,2000,3,2452.849,1064.326,0,1206.549,322.6,23.625,1.18,955.047,-540.157,-132.489,0.64,0.55,0.53
192,AMD,31/03/2001,2000,4,2657.689,1224.109,0,1175.172,314.137,13.8125,0.53,1205.552,-815.802,-100.851,0.53,0.36,0.37
193,AMD,30/06/2001,2001,1,2881.099,1161.733,0,1188.747,316,26.54,0.37,146.756,-19.293,338.218,0.37,0.27,0.05
194,AMD,30/09/2001,2001,2,2550.836,1077.728,0,985.264,346.4,28.9,0.05,-17.111,-484.902,319.332,0.05,-0.1,-0.28
195,AMD,31/12/2001,2001,3,2399.743,1172.546,0,765.87,347.1,8.15,-0.54,56.078,-466.347,221.512,-0.28,-0.19,-0.05
196,AMD,31/03/2002,2001,4,2353.109,1313.937,0,951.873,340.503,15.86,-0.05,167.645,-553.521,231.712,-0.05,-0.06,-0.03
197,AMD,30/06/2002,2002,1,2659.88,1227.007,0,902.073,335.079,14.71,-0.03,210.533,-769.269,436.44,-0.03,-0.36,-0.54
198,AMD,30/09/2002,2002,2,2515.765,1271.836,0,600.299,335.976,9.72,-0.54,102.774,-513.679,473.873,-0.54,-0.48,-0.74
199,AMD,31/12/2002,2002,3,2145.646,1293.859,0,508.227,337.164,5.34,-0.74,9.158,-445.798,528.891,-0.74,-0.42,-0.68
200,AMD,31/03/2003,2002,4,2019.678,1372.079,0,686.43,344.528,6.46,-2.49,-88.91,-854.389,907.44,-0.68,-0.49,-0.42
201,AMD,30/06/2003,2003,1,1794.99,1269.882,0,714.555,345.736,6.18,-0.42,-78.662,60.42,9.665,-0.42,-0.28,-0.4
202,AMD,30/09/2003,2003,2,1715.041,1063.993,0,645.261,346.916,6.41,-0.4,-93.007,286.364,56.767,-0.4,-0.36,-0.09
203,AMD,31/12/2003,2003,3,2517.98,1269.039,0,953.759,347.929,11.11,-0.09,-93.006,290.555,365.694,-0.09,0.04,0.12
204,AMD,31/03/2004,2003,4,2900.278,1452.27,0,1205.593,350.253,14.9,0.12,295.586,83.183,267.402,0.12,0.03,0.12
205,AMD,30/06/2004,2004,1,2943.676,1479.036,0,1236.433,352.168,16.23,0.12,206.26,-207.727,-6.316,0.12,0.09,0.09
206,AMD,30/09/2004,2004,2,2877.447,1511.31,0,1261.837,354.348,15.9,0.09,460.938,-659.804,-66.096,0.09,0.14,0.12
207,AMD,31/12/2004,2004,3,3051.24,1583.926,0,1239.459,355.838,13,0.12,724.333,-1011.791,98.886,0.12,0.19,0.05
208,AMD,31/03/2005,2004,4,3227.997,1846.376,0,1263.706,391.739,22.02,-0.08,1086.521,-1555.784,412.8,0.05,0.03,-0.04
209,AMD,30/06/2005,2005,1,3127.474,1903.474,0,1226.628,394.704,16.12,-0.04,251.327,-669.612,158.047,-0.04,-0.07,0.03
210,AMD,30/09/2005,2005,2,3248.061,1997.684,0,1259.918,396.333,17.34,0.03,516.49,-1056.822,331.848,0.03,0.08,0.18
211,AMD,31/12/2005,2005,3,3462.403,2212.355,0,1522.755,401.964,25.2,0.18,945.576,-1444.984,391.382,0.18,0.23,0.45
212,AMD,31/03/2006,2005,4,3558.836,1821.961,0,1838.276,435.527,30.6,0.21,1482.855,-2269.582,494.189,0.45,0.29,0.38
213,AMD,30/06/2006,2006,1,4216.853,1948.524,0,1332.158,483.391,33.16,0.38,566.349,-925.347,549.062,0.38,0.29,0.18
214,AMD,30/09/2006,2006,2,3905.532,1754.489,0,1216.367,485.564,24.42,0.18,785.199,-1405.927,676.318,0.18,0.23,0.27
215,AMD,31/12/2006,2006,3,3911.861,1892.211,0,1327.622,487.12,24.85,0.27,1015.384,-957.806,693.881,0.27,0.1,-0.04
216,AMD,31/03/2007,2006,4,3963,2852,0,1772.853,547,20.35,-1.08,1287,-4303,3763,-0.04,-0.27,-0.9
217,AMD,30/06/2007,2007,1,3187,2911,0,1130,550,13.06,-1.11,41,-592,162,-0.9,-0.85,-0.95
218,AMD,30/09/2007,2007,2,3598,2476,0,1309,553,14.3,-1.09,-594,-1118,1636,-0.95,-0.62,-0.49
219,AMD,31/12/2007,2007,3,3543,2702,0,1682,555,13.2,-0.71,-371,-1349,1436,-0.49,-0.36,-0.17
220,AMD,31/03/2008,2007,4,3816,2625,0,1737,606,7.5,-3.06,-310,-1675,2037,-0.17,-0.4,-0.51
221,AMD,30/06/2008,2008,1,3513,2738,0,1487,606,5.89,-0.6,16,-198,154,-0.51,-0.52,-0.6
222,AMD,30/09/2008,2008,2,3431,2468,0,1362,607,5.83,-1.97,-226,-31,135,-0.6,-0.4,0.13
223,AMD,31/12/2008,2008,3,3297,2392,0,1797,609,5.25,-0.22,-442,-78,196,0.13,-0.54,-0.69
224,AMD,31/03/2009,2008,4,2379,2226,0,1162,609,2.16,-2.36,-692,-27,220,-0.69,-0.66,-0.66
225,AMD,30/06/2009,2009,1,3971,2079,0,1177,667,3.05,-0.66,-391,-179,2039,-0.66,-0.48,-0.49
226,AMD,30/09/2009,2009,2,3713,2022,0,1184,668,3.87,-0.49,-535,-496,2077,-0.49,-0.41,-0.18
227,AMD,31/12/2009,2009,3,3918,2076,0,1396,670,5.66,-0.18,-677,-716,2307,-0.18,-0.18,1.52
228,AMD,31/03/2010,2009,4,4275,2210,0,1646,671,9.68,1.49,473,-1273,1524,1.52,-0.1,0.09
229,AMD,30/06/2010,2010,1,3331,1645,0,1574,672,9.27,0.35,23,-1215,177,0.09,0.06,0.11
230,AMD,30/09/2010,2010,2,3313,1630,0,1653,674,7.32,-0.06,-75,-699,201,0.11,0.12,0.15
231,AMD,31/12/2010,2010,3,3212,1665,0,1618,681,7.11,-0.17,-199,-1020,182,0.15,0.11,0.14
232,AMD,31/03/2011,2010,4,3594,1674,0,1649,683,8.18,0.5,-412,-1123,484,0.14,0.05,0.08
233,AMD,30/06/2011,2011,1,3411,1375,0,1613,687,8.6,0.68,-168,-14,178,0.08,0.08,0.09
234,AMD,30/09/2011,2011,2,3438,1312,0,1574,691,6.99,0.08,6,-244,186,0.09,0.1,0.15
235,AMD,31/12/2011,2011,3,3412,1855,0,1690,697,5.08,0.13,195,-210,34,0.15,0.16,0.19
236,AMD,31/03/2012,2011,4,3229,1774,0,1691,698,5.4,-0.24,382,-113,-6,0.19,0.09,0.12
